[DEBUG] 2021-02-15 20:55:12.012 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-15 20:55:12.015 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-15 20:55:12.018 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-15 20:55:12.086 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-15 20:55:12.087 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-15 20:55:12.263 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-15 20:55:12.265 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-15 20:55:12.269 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-15 20:55:12.485 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-15 20:55:12.504 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-15 20:55:12.504 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-15 20:55:12.520 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-15 20:55:12.755 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2df3c564
[DEBUG] 2021-02-15 20:55:12.755 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2df3c564
[DEBUG] 2021-02-15 20:55:12.755 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2df3c564
[DEBUG] 2021-02-15 20:55:12.755 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@62e7dffa
[DEBUG] 2021-02-15 20:55:12.755 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@b8a7e43
[DEBUG] 2021-02-15 20:55:12.756 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2a27cb34
[DEBUG] 2021-02-15 20:55:12.757 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@ae7950d
[DEBUG] 2021-02-15 20:55:12.757 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@ae7950d
[DEBUG] 2021-02-15 20:55:12.757 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@ae7950d
[DEBUG] 2021-02-15 20:55:12.757 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4dafba3e
[DEBUG] 2021-02-15 20:55:12.757 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4dafba3e
[DEBUG] 2021-02-15 20:55:12.758 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4dafba3e
