[DEBUG] 2021-02-16 14:18:12.563 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-16 14:18:12.565 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-16 14:18:12.570 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-16 14:18:12.641 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-16 14:18:12.643 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-16 14:18:12.825 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-16 14:18:12.826 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-16 14:18:12.831 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-16 14:18:13.056 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-16 14:18:13.073 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-16 14:18:13.074 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-16 14:18:13.090 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-16 14:18:13.334 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@66f659e6
[DEBUG] 2021-02-16 14:18:13.334 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@66f659e6
[DEBUG] 2021-02-16 14:18:13.334 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@66f659e6
[DEBUG] 2021-02-16 14:18:13.335 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2063c53e
[DEBUG] 2021-02-16 14:18:13.335 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6e57b5e9
[DEBUG] 2021-02-16 14:18:13.336 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@77cb9cd1
[DEBUG] 2021-02-16 14:18:13.337 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@c6a6c1d
[DEBUG] 2021-02-16 14:18:13.337 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@c6a6c1d
[DEBUG] 2021-02-16 14:18:13.337 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@c6a6c1d
[DEBUG] 2021-02-16 14:18:13.338 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6e0cff20
[DEBUG] 2021-02-16 14:18:13.338 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6e0cff20
[DEBUG] 2021-02-16 14:18:13.338 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6e0cff20
[DEBUG] 2021-02-16 14:18:13.339 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@66bacdbc
[DEBUG] 2021-02-16 14:18:13.339 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@66bacdbc
[DEBUG] 2021-02-16 14:18:13.339 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@66bacdbc
[DEBUG] 2021-02-16 14:18:13.340 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@44de94c3
[DEBUG] 2021-02-16 14:18:13.340 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@44de94c3
